Portuguese;English
"Pois é, né?";"Yeah, right?"
"Com certeza.";"For sure."
"Entendi.";"I see."
"Falando nisso, você viu o jogo ontem?";"Speaking of which, did you see the game yesterday?"
"Bom, eu preciso ir agora.";"Well, I need to go now."
"Foi bom te ver!";"It was good to see you!"
"A gente se fala.";"We'll talk later."
"Até mais!";"See you later!"
"Se cuida!";"Take care!"
"Tenha uma boa noite.";"Have a good night."
"Bom trabalho pra você.";"Have a good day at work."
"Até a próxima!";"Until next time!"
